20200829111143,10.0.0.2,52796,10.0.0.1,5001,3,0.0-1.0,1441792,11534336
20200829111144,10.0.0.2,52796,10.0.0.1,5001,3,1.0-2.0,1179648,9437184
20200829111145,10.0.0.2,52796,10.0.0.1,5001,3,2.0-3.0,1310720,10485760
20200829111146,10.0.0.2,52796,10.0.0.1,5001,3,3.0-4.0,1179648,9437184
20200829111147,10.0.0.2,52796,10.0.0.1,5001,3,4.0-5.0,1310720,10485760
20200829111148,10.0.0.2,52796,10.0.0.1,5001,3,5.0-6.0,1179648,9437184
20200829111149,10.0.0.2,52796,10.0.0.1,5001,3,6.0-7.0,1179648,9437184
20200829111150,10.0.0.2,52796,10.0.0.1,5001,3,7.0-8.0,1048576,8388608
20200829111151,10.0.0.2,52796,10.0.0.1,5001,3,8.0-9.0,1179648,9437184
20200829111152,10.0.0.2,52796,10.0.0.1,5001,3,9.0-10.0,1179648,9437184
20200829111153,10.0.0.2,52796,10.0.0.1,5001,3,10.0-11.0,1179648,9437184
20200829111154,10.0.0.2,52796,10.0.0.1,5001,3,11.0-12.0,1179648,9437184
20200829111155,10.0.0.2,52796,10.0.0.1,5001,3,12.0-13.0,1179648,9437184
20200829111156,10.0.0.2,52796,10.0.0.1,5001,3,13.0-14.0,1179648,9437184
20200829111157,10.0.0.2,52796,10.0.0.1,5001,3,14.0-15.0,1179648,9437184
20200829111158,10.0.0.2,52796,10.0.0.1,5001,3,15.0-16.0,1179648,9437184
20200829111159,10.0.0.2,52796,10.0.0.1,5001,3,16.0-17.0,1310720,10485760
20200829111200,10.0.0.2,52796,10.0.0.1,5001,3,17.0-18.0,917504,7340032
20200829111201,10.0.0.2,52796,10.0.0.1,5001,3,18.0-19.0,1179648,9437184
20200829111202,10.0.0.2,52796,10.0.0.1,5001,3,19.0-20.0,1310720,10485760
20200829111203,10.0.0.2,52796,10.0.0.1,5001,3,20.0-21.0,1179648,9437184
20200829111204,10.0.0.2,52796,10.0.0.1,5001,3,21.0-22.0,1179648,9437184
20200829111205,10.0.0.2,52796,10.0.0.1,5001,3,22.0-23.0,1179648,9437184
20200829111206,10.0.0.2,52796,10.0.0.1,5001,3,23.0-24.0,1179648,9437184
20200829111207,10.0.0.2,52796,10.0.0.1,5001,3,24.0-25.0,1048576,8388608
20200829111208,10.0.0.2,52796,10.0.0.1,5001,3,25.0-26.0,1179648,9437184
20200829111209,10.0.0.2,52796,10.0.0.1,5001,3,26.0-27.0,1179648,9437184
20200829111210,10.0.0.2,52796,10.0.0.1,5001,3,27.0-28.0,1179648,9437184
