20200830185841,10.0.0.2,43258,10.0.0.1,5001,3,0.0-1.0,4456448,35651584
20200830185842,10.0.0.2,43258,10.0.0.1,5001,3,1.0-2.0,5898240,47185920
20200830185843,10.0.0.2,43258,10.0.0.1,5001,3,2.0-3.0,5767168,46137344
20200830185844,10.0.0.2,43258,10.0.0.1,5001,3,3.0-4.0,5505024,44040192
20200830185845,10.0.0.2,43258,10.0.0.1,5001,3,4.0-5.0,5898240,47185920
20200830185846,10.0.0.2,43258,10.0.0.1,5001,3,5.0-6.0,5767168,46137344
20200830185847,10.0.0.2,43258,10.0.0.1,5001,3,6.0-7.0,5898240,47185920
20200830185848,10.0.0.2,43258,10.0.0.1,5001,3,7.0-8.0,5898240,47185920
20200830185849,10.0.0.2,43258,10.0.0.1,5001,3,8.0-9.0,5767168,46137344
20200830185850,10.0.0.2,43258,10.0.0.1,5001,3,9.0-10.0,5898240,47185920
20200830185851,10.0.0.2,43258,10.0.0.1,5001,3,10.0-11.0,6029312,48234496
20200830185852,10.0.0.2,43258,10.0.0.1,5001,3,11.0-12.0,5636096,45088768
20200830185853,10.0.0.2,43258,10.0.0.1,5001,3,12.0-13.0,5767168,46137344
20200830185854,10.0.0.2,43258,10.0.0.1,5001,3,13.0-14.0,5898240,47185920
20200830185855,10.0.0.2,43258,10.0.0.1,5001,3,14.0-15.0,5767168,46137344
20200830185856,10.0.0.2,43258,10.0.0.1,5001,3,15.0-16.0,5898240,47185920
20200830185857,10.0.0.2,43258,10.0.0.1,5001,3,16.0-17.0,5767168,46137344
20200830185858,10.0.0.2,43258,10.0.0.1,5001,3,17.0-18.0,5898240,47185920
20200830185859,10.0.0.2,43258,10.0.0.1,5001,3,18.0-19.0,5767168,46137344
20200830185900,10.0.0.2,43258,10.0.0.1,5001,3,19.0-20.0,5898240,47185920
20200830185901,10.0.0.2,43258,10.0.0.1,5001,3,20.0-21.0,5898240,47185920
20200830185902,10.0.0.2,43258,10.0.0.1,5001,3,21.0-22.0,5898240,47185920
20200830185903,10.0.0.2,43258,10.0.0.1,5001,3,22.0-23.0,5898240,47185920
20200830185904,10.0.0.2,43258,10.0.0.1,5001,3,23.0-24.0,5373952,42991616
20200830185905,10.0.0.2,43258,10.0.0.1,5001,3,24.0-25.0,6291456,50331648
